name-of-job,location,salary,date,name-of-company,application-link
Summer 2024 Internship/ Co-Op - Software,Long Beach CA,$30.00 Per Hour (Employer est.),30d+,Rocket Lab USA,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=0000018a2c2747e4991db853a96e9565&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bff8b422&cb=1692957906177&jobListingId=1008759473054&jrtk=5-yul1-3-1h8m2f55r2ee8001-1h8m2ei0hjqtr800
Software Engineering Summer Intern - 2024,Irvine CA,$22.50 - $42.00 Per Hour (Employer est.),19d,Skyworks,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018a2c269cfc89f5be67d9786c05&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_83563cc2&cb=1692957851575&jobListingId=1008799312320&jrtk=5-yul1-3-1h8m2dfrmikrq801-1h8m2d79kih3e800
Software Engineering Summer Intern - 2024,Irvine CA,$22.50 - $42.00 Per Hour (Employer est.),19d,Skyworks,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000018a2c2747e4991db853a96e9565&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c8089bad&cb=1692957897067&jobListingId=1008799312320&jrtk=5-yul1-3-1h8m2es8rje31801-1h8m2ei0hjqtr800
Game Research & Development Intern Engine Research,Los Angeles CA,$24.80 - $57.69 Per Hour (Employer est.),30d+,Tencent,https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=1136043&s=58&guid=0000018a2c269cfc89f5be67d9786c05&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_02655a43&cb=1692957862761&jobListingId=1008596704133&jrtk=5-yul1-3-1h8m2dqp9k2ls801-1h8m2d79kih3e800
Internship Digital Design Developer Design Studio (Winter/Spring 2024),Hawthorne CA,,15d,Tesla,https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=1136043&s=58&guid=0000018a2c26ede184dc6de02f29cf52&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_133bc407&cb=1692957868969&jobListingId=1008806286946&jrtk=5-yul1-3-1h8m2e0r3k2kg801-1h8m2drgii3pv800
Internship Frontend Software Engineer UI Design (Winter/Spring 2024),Hawthorne CA,,24d,Tesla,https://www.glassdoor.com/partner/jobListing.htm?pos=226&ao=1136043&s=58&guid=0000018a2c27bb649c342378ff2518b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6ff68e6a&cb=1692957932500&jobListingId=1008789108472&jrtk=5-yul1-3-1h8m2fus2jjim801-1h8m2fesj2cja000
Internship Digital Design Developer Design Studio (Winter/Spring 2024),Hawthorne CA,,15d,Tesla,https://www.glassdoor.com/partner/jobListing.htm?pos=324&ao=1136043&s=58&guid=0000018a2c27fe1aa98cb16df7fdb7b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b4776660&cb=1692957944779&jobListingId=1008806286946&jrtk=5-yul1-3-1h8m2gas6j4q7801-1h8m2fvi7j4q5800
Internship Digital Design Developer Design Studio (Winter/Spring 2024),Hawthorne CA,,15d,Tesla,https://www.glassdoor.com/partner/jobListing.htm?pos=324&ao=1136043&s=58&guid=0000018a2c27fe1aa98cb16df7fdb7b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b4776660&cb=1692957953131&jobListingId=1008806286946&jrtk=5-yul1-3-1h8m2gj152ee8001-1h8m2fvi7j4q5800
Software Intern,Irvine CA,$70K - $85K (Employer est.),30d+,Turion Space,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018a2c2747e4991db853a96e9565&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_145bd586&cb=1692957898935&jobListingId=1008560449374&jrtk=5-yul1-3-1h8m2eu45j4r1801-1h8m2ei0hjqtr800
Fall 2023 Software Engineering (Firmware) Intern,Irvine CA,$113K - $173K (Glassdoor est.),30d+,Western Digital,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000018a2c2747e4991db853a96e9565&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a3399537&cb=1692957901034&jobListingId=1008677014979&jrtk=5-yul1-3-1h8m2f04mk2me801-1h8m2ei0hjqtr800
